pathway_id	pathway_description	pvalue	hub_gene	comparison
M11911	KEGG_ABC_TRANSPORTERS	9.99000999000999e-4	POMC	PBTA_HGG
M4864	KEGG_BASAL_TRANSCRIPTION_FACTORS	9.99000999000999e-4	PTGER1	PBTA_HGG
M9052	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	9.99000999000999e-4	RAD54L	PBTA_HGG
M2333	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	9.99000999000999e-4	TFG	PBTA_HGG
M9726	KEGG_PANCREATIC_CANCER	9.99000999000999e-4	APEH	PBTA_HGG
M984	BIOCARTA_TOLL_PATHWAY	9.99000999000999e-4	SDHD	PBTA_HGG
M1315	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	9.99000999000999e-4	PPP1R12B	PBTA_HGG
M183	PID_IL6_7_PATHWAY	9.99000999000999e-4	PLK3	PBTA_HGG
M220	PID_CASPASE_PATHWAY	9.99000999000999e-4	CD68	PBTA_HGG
M240	PID_SYNDECAN_2_PATHWAY	9.99000999000999e-4	NAGLU	PBTA_HGG
M241	PID_RAC1_REG_PATHWAY	9.99000999000999e-4	IRAK2	PBTA_HGG
M257	PID_EPHRINB_REV_PATHWAY	9.99000999000999e-4	APEH	PBTA_HGG
M725	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	9.99000999000999e-4	PTTG1IP	PBTA_HGG
M728	REACTOME_RNA_POL_I_TRANSCRIPTION	9.99000999000999e-4	DYNLL1	PBTA_HGG
M734	REACTOME_RNA_POL_II_TRANSCRIPTION	9.99000999000999e-4	PTTG1IP	PBTA_HGG
M735	REACTOME_NEURONAL_SYSTEM	9.99000999000999e-4	CAPZB	PBTA_HGG
M11575	REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	9.99000999000999e-4	HMGCR	PBTA_HGG
M2531	REACTOME_MRNA_PROCESSING	9.99000999000999e-4	BTK	PBTA_HGG
M14025	REACTOME_TRANSCRIPTION	9.99000999000999e-4	BTK	PBTA_HGG
M12967	REACTOME_MRNA_3_END_PROCESSING	9.99000999000999e-4	PTTG1IP	PBTA_HGG
M14857	REACTOME_SPHINGOLIPID_METABOLISM	9.99000999000999e-4	CFL2	PBTA_HGG
M874	REACTOME_SIGNALING_BY_ILS	9.99000999000999e-4	SKP1	PBTA_HGG
M2134	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	9.99000999000999e-4	ARL1	PBTA_HGG
M893	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	9.99000999000999e-4	CD63	PBTA_HGG
M894	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	9.99000999000999e-4	CHST2	PBTA_HGG
M987	REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	9.99000999000999e-4	AEBP1	PBTA_HGG
M10189	REACTOME_SIGNALING_BY_NOTCH	9.99000999000999e-4	GALNT2	PBTA_HGG
M1019	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	9.99000999000999e-4	PTTG1IP	PBTA_HGG
M1025	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	9.99000999000999e-4	CD81	PBTA_HGG
M1870	REACTOME_GLUCOSE_METABOLISM	9.99000999000999e-4	IL3RA	PBTA_HGG
M12769	LU_TUMOR_VASCULATURE_UP	9.99000999000999e-4	SLC2A5	PBTA_HGG
M10605	BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	9.99000999000999e-4	PARP4	PBTA_HGG
M18058	WILCOX_RESPONSE_TO_PROGESTERONE_UP	9.99000999000999e-4	DECR1	PBTA_HGG
M6659	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	9.99000999000999e-4	PRNP	PBTA_HGG
M18635	CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	9.99000999000999e-4	CSF2RA	PBTA_HGG
M12653	HUTTMANN_B_CLL_POOR_SURVIVAL_DN	9.99000999000999e-4	WIPF1	PBTA_HGG
M535	DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	9.99000999000999e-4	FCGR1B	PBTA_HGG
M16431	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	9.99000999000999e-4	SLC7A7	PBTA_HGG
M2840	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	9.99000999000999e-4	WWP1	PBTA_HGG
M12816	DOANE_RESPONSE_TO_ANDROGEN_DN	9.99000999000999e-4	IRAK2	PBTA_HGG
M5459	NEWMAN_ERCC6_TARGETS_UP	9.99000999000999e-4	NR2C1	PBTA_HGG
M1973	HORIUCHI_WTAP_TARGETS_UP	9.99000999000999e-4	GALNT2	PBTA_HGG
M10334	WANG_CLIM2_TARGETS_UP	9.99000999000999e-4	RNASET2	PBTA_HGG
M8577	WANG_CLIM2_TARGETS_DN	9.99000999000999e-4	GALNT2	PBTA_HGG
M17079	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	9.99000999000999e-4	SERPINB1	PBTA_HGG
M16858	OSMAN_BLADDER_CANCER_DN	9.99000999000999e-4	ACVR1	PBTA_HGG
M18559	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	9.99000999000999e-4	COPS6	PBTA_HGG
M17275	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	9.99000999000999e-4	TYROBP	PBTA_HGG
M9740	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	9.99000999000999e-4	SPCS2	PBTA_HGG
M13479	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	9.99000999000999e-4	TYROBP	PBTA_HGG
M15588	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	9.99000999000999e-4	TYROBP	PBTA_HGG
M11090	DITTMER_PTHLH_TARGETS_UP	9.99000999000999e-4	CAPZA1	PBTA_HGG
M12004	SENESE_HDAC1_AND_HDAC2_TARGETS_DN	9.99000999000999e-4	SUOX	PBTA_HGG
M6906	SENESE_HDAC2_TARGETS_DN	9.99000999000999e-4	GALNT2	PBTA_HGG
M3134	HUMMEL_BURKITTS_LYMPHOMA_UP	9.99000999000999e-4	ADGRE5	PBTA_HGG
M19251	TIEN_INTESTINE_PROBIOTICS_6HR_UP	9.99000999000999e-4	ABR	PBTA_HGG
M8818	BIDUS_METASTASIS_DN	9.99000999000999e-4	RNASET2	PBTA_HGG
M10237	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	9.99000999000999e-4	STXBP2	PBTA_HGG
M10961	GOZGIT_ESR1_TARGETS_DN	9.99000999000999e-4	MYD88	PBTA_HGG
M11896	LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN	9.99000999000999e-4	FAH	PBTA_HGG
