QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
P17948	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P17948	Vascular endothelial growth factor receptor 1	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT1	M1	-0.309148292333252
P0DPH7	NA	NA	NA	NA	PACLITAXEL	Tubulin inhibitor	INHIBITOR	1992	CHEMBL2095182	104766	P0DPH7	Tubulin alpha-3C chain	Homo sapiens	D000071960: Breast Carcinoma In Situ,D000077192: Adenocarcinoma of Lung,D000077195: Squamous Cell Carcinoma of Head and Neck,D000230: Adenocarcinoma,D000306: Adrenal Cortex Neoplasms,D000740: Anemia,D001005: Anus Neoplasms,D001172: Arthritis, Rheumatoid,D001661: Biliary Tract Neoplasms,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D002277: Carcinoma,D002282: Adenocarcinoma, Bronchiolo-Alveolar,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D003251: Constriction, Pathologic,D004066: Digestive System Diseases,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005706: Gallbladder Neoplasms,D005833: Genital Neoplasms, Female,D005909: Glioblastoma,D006258: Head and Neck Neoplasms,D006394: Hemangiosarcoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D006967: Hypersensitivity,D007012: Hypopharyngeal Neoplasms,D007511: Ischemia,D007680: Kidney Neoplasms,D007938: Leukemia,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008228: Lymphoma, Non-Hodgkin,D008545: Melanoma,D008654: Mesothelioma,D009062: Mouth Neoplasms,D009101: Multiple Myeloma,D009303: Nasopharyngeal Neoplasms,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010146: Pain,D010190: Pancreatic Neoplasms,D010412: Penile Neoplasms,D010523: Peripheral Nervous System Diseases,D010534: Peritoneal Neoplasms,D011470: Prostatic Hyperplasia,D011471: Prostatic Neoplasms,D011565: Psoriasis,D012004: Rectal Neoplasms,D012192: Retroviridae Infections,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D012514: Sarcoma, Kaposi,D013274: Stomach Neoplasms,D013724: Teratoma,D013736: Testicular Neoplasms,D013945: Thymoma,D013964: Thyroid Neoplasms,D014523: Urethral Neoplasms,D014565: Urogenital Neoplasms,D014594: Uterine Neoplasms,D014625: Vaginal Neoplasms,D014846: Vulvar Neoplasms,D015179: Colorectal Neoplasms,D015266: Carcinoma, Merkel Cell,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015658: HIV Infections,D016491: Peripheral Vascular Diseases,D016543: Central Nervous System Neoplasms,D016889: Endometrial Neoplasms,D018269: Carcinoma, Endometrioid,D018278: Carcinoma, Neuroendocrine,D018281: Cholangiocarcinoma,D018287: Carcinoma, Large Cell,D018288: Carcinoma, Small Cell,D018289: Carcinoma, Verrucous,D018290: Cervical Intraepithelial Neoplasia,D018293: Cystadenoma, Serous,D018312: Sex Cord-Gonadal Stromal Tumors,D018316: Gliosarcoma,D018323: Hemangioendothelioma, Epithelioid,D018567: Breast Neoplasms, Male,D021441: Carcinoma, Pancreatic Ductal,D023903: Coronary Restenosis,D031901: Gestational Trophoblastic Disease,D044584: Carcinoma, Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D055623: Keratosis, Actinic,D055752: Small Cell Lung Carcinoma,D058729: Peripheral Arterial Disease,D058922: Inflammatory Breast Neoplasms,D061325: Hereditary Breast and Ovarian Cancer Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant,D064726: Triple Negative Breast Neoplasms	TUBA3C	M1	-0.355590510565159
P29274	NA	NA	NA	NA	PENTOXIFYLLINE	Adenosine A2 receptor antagonist	ANTAGONIST	1984	CHEMBL2094257	104729	P29274	Adenosine receptor A2a	Homo sapiens	D000071074: Neonatal Sepsis,D000740: Anemia,D001528: Behcet Syndrome,D001656: Biliary Atresia,D001714: Bipolar Disorder,D001927: Brain Diseases,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002318: Cardiovascular Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003928: Diabetic Nephropathies,D004374: Ductus Arteriosus, Patent,D004715: Endometriosis,D005234: Fatty Liver,D005355: Fibrosis,D005921: Glomerulonephritis,D006258: Head and Neck Neoplasms,D006519: Hepatitis, Alcoholic,D007246: Infertility,D007896: Leishmaniasis,D008103: Liver Cirrhosis,D008105: Liver Cirrhosis, Biliary,D009369: Neoplasms,D009404: Nephrotic Syndrome,D010020: Osteonecrosis,D010195: Pancreatitis,D012559: Schizophrenia,D014947: Wounds and Injuries,D015658: HIV Infections,D016543: Central Nervous System Neoplasms,D016773: Leishmaniasis, Cutaneous,D016778: Malaria, Falciparum,D017093: Liver Failure,D017565: Sarcoidosis, Pulmonary,D020065: Hepatopulmonary Syndrome,D020345: Enterocolitis, Necrotizing,D020388: Muscular Dystrophy, Duchenne,D020516: Brachial Plexus Neuropathies,D045169: Severe Acute Respiratory Syndrome,D051436: Renal Insufficiency, Chronic,D054058: Acute Coronary Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D058186: Acute Kidney Injury,D065626: Non-alcoholic Fatty Liver Disease	ADORA2A	M1	-0.325429038933457
P10826	NA	NA	NA	NA	ADAPALENE	Retinoic acid receptor agonist	AGONIST	1996	CHEMBL2363069	105764	P10826	Retinoic acid receptor beta	Homo sapiens	D000152: Acne Vulgaris,D012871: Skin Diseases	RARB	M1	-0.298574786250413
Q13370	NA	NA	NA	NA	PENTOXIFYLLINE	3',5'-cyclic phosphodiesterase inhibitor	INHIBITOR	1984	CHEMBL2363066	105761	Q13370	cGMP-inhibited 3',5'-cyclic phosphodiesterase B	Homo sapiens	D000071074: Neonatal Sepsis,D000740: Anemia,D001528: Behcet Syndrome,D001656: Biliary Atresia,D001714: Bipolar Disorder,D001927: Brain Diseases,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002318: Cardiovascular Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003865: Depressive Disorder, Major,D003928: Diabetic Nephropathies,D004374: Ductus Arteriosus, Patent,D004715: Endometriosis,D005234: Fatty Liver,D005355: Fibrosis,D005921: Glomerulonephritis,D006258: Head and Neck Neoplasms,D006519: Hepatitis, Alcoholic,D007246: Infertility,D007896: Leishmaniasis,D008103: Liver Cirrhosis,D008105: Liver Cirrhosis, Biliary,D009369: Neoplasms,D009404: Nephrotic Syndrome,D010020: Osteonecrosis,D010195: Pancreatitis,D012559: Schizophrenia,D014947: Wounds and Injuries,D015658: HIV Infections,D016543: Central Nervous System Neoplasms,D016773: Leishmaniasis, Cutaneous,D016778: Malaria, Falciparum,D017093: Liver Failure,D017565: Sarcoidosis, Pulmonary,D020065: Hepatopulmonary Syndrome,D020345: Enterocolitis, Necrotizing,D020388: Muscular Dystrophy, Duchenne,D020516: Brachial Plexus Neuropathies,D045169: Severe Acute Respiratory Syndrome,D051436: Renal Insufficiency, Chronic,D054058: Acute Coronary Syndrome,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D058186: Acute Kidney Injury,D065626: Non-alcoholic Fatty Liver Disease	PDE3B	M1	-0.325429038933457
Q8TCU5	NA	NA	NA	NA	FELBAMATE	Glutamate [NMDA] receptor antagonist	ANTAGONIST	1993	CHEMBL2094124	104706	Q8TCU5	Glutamate receptor ionotropic, NMDA 3A	Homo sapiens	D001714: Bipolar Disorder,D004827: Epilepsy	GRIN3A	M1	-0.302935048115728
P21964	NA	NA	NA	NA	TOLCAPONE	Catechol O-methyltransferase inhibitor	INHIBITOR	1998	CHEMBL2023	91	P21964	Catechol O-methyltransferase	Homo sapiens	D000437: Alcoholism,D001930: Brain Injuries,D005715: Gambling,D009447: Neuroblastoma,D009771: Obsessive-Compulsive Disorder,D010300: Parkinson Disease,D012559: Schizophrenia,D014029: Tobacco Use Disorder,D019970: Cocaine-Related Disorders,D020774: Pick Disease of the Brain	COMT	M1	-0.312518198015175
P07948	NA	NA	NA	NA	BOSUTINIB	Tyrosine-protein kinase Lyn inhibitor	INHIBITOR	2010	CHEMBL3905	11842	P07948	Tyrosine-protein kinase Lyn	Homo sapiens	D000690: Amyotrophic Lateral Sclerosis,D001749: Urinary Bladder Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002583: Uterine Cervical Neoplasms,D003704: Dementia,D005909: Glioblastoma,D007938: Leukemia,D008654: Mesothelioma,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D013945: Thymoma,D013953: Thymus Neoplasms,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D016891: Polycystic Kidney, Autosomal Dominant,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	LYN	M1	-0.306176051491788
P23219	NA	NA	NA	NA	OXAPROZIN	Cyclooxygenase inhibitor	INHIBITOR	1992	CHEMBL2094253	104725	P23219	Prostaglandin G/H synthase 1	Homo sapiens	D012216: Rheumatic Diseases	PTGS1	M1	-0.31781532241993
P62942	NA	NA	NA	NA	SIROLIMUS	FK506-binding protein 1A inhibitor	INHIBITOR	1999	CHEMBL1902	80	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000375: Aging,D000437: Alcoholism,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000741: Anemia, Aplastic,D000755: Anemia, Sickle Cell,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D001991: Bronchitis,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002532: Intracranial Aneurysm,D002538: Intracranial Arteriovenous Malformations,D003866: Depressive Disorder,D003922: Diabetes Mellitus, Type 1,D003928: Diabetic Nephropathies,D003930: Diabetic Retinopathy,D005128: Eye Diseases,D005185: Fallopian Tube Neoplasms,D005199: Fanconi Anemia,D005350: Fibroma,D005355: Fibrosis,D005733: Gangliosidoses,D005776: Gaucher Disease,D005871: Castleman Disease,D005909: Glioblastoma,D005922: Glomerulonephritis, IGA,D005923: Glomerulosclerosis, Focal Segmental,D006009: Glycogen Storage Disease Type II,D006086: Graft vs Host Disease,D006105: Granulomatous Disease, Chronic,D006402: Hematologic Diseases,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D006937: Hypercholesterolemia,D006946: Hyperinsulinism,D006973: Hypertension,D006976: Hypertension, Pulmonary,D007154: Immune System Diseases,D007674: Kidney Diseases,D007690: Polycystic Kidney Diseases,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008180: Lupus Erythematosus, Systemic,D008223: Lymphoma,D008228: Lymphoma, Non-Hodgkin,D008268: Macular Degeneration,D009101: Multiple Myeloma,D009190: Myelodysplastic Syndromes,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009442: Neurilemmoma,D009447: Neuroblastoma,D009456: Neurofibromatosis 1,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010300: Parkinson Disease,D010392: Pemphigus,D010871: Pinealoma,D011125: Adenomatous Polyposis Coli,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012128: Respiratory Distress Syndrome,D012509: Sarcoma,D012516: Osteosarcoma,D012595: Scleroderma, Systemic,D012878: Skin Neoplasms,D013341: Sturge-Weber Syndrome,D013964: Thyroid Neoplasms,D014606: Uveitis, Anterior,D015352: Dry Eye Syndromes,D015423: Scleritis,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015658: HIV Infections,D015866: Uveitis, Posterior,D015867: Uveitis, Intermediate,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016511: Severe Combined Immunodeficiency,D016543: Central Nervous System Neoplasms,D016891: Polycystic Kidney, Autosomal Dominant,D017086: beta-Thalassemia,D017676: Lichen Planus, Oral,D018192: Lymphangioleiomyomatosis,D018222: Fibromatosis, Aggressive,D018316: Gliosarcoma,D018376: Cardiovascular Abnormalities,D018979: Myositis, Inclusion Body,D019337: Hematologic Neoplasms,D019339: Port-Wine Stain,D020522: Lymphoma, Mantle-Cell,D020529: Multiple Sclerosis, Relapsing-Remitting,D045169: Severe Acute Respiratory Syndrome,D049970: Graves Ophthalmopathy,D051436: Renal Insufficiency, Chronic,D051437: Renal Insufficiency,D053549: Pachyonychia Congenita,D054079: Vascular Malformations,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055371: Acute Lung Injury,D055752: Small Cell Lung Carcinoma,D055948: Sarcopenia,D057135: Wet Macular Degeneration,D057180: Frontotemporal Dementia,D058249: Birt-Hogg-Dube Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant	FKBP1A	M1	-0.35697698453477
