QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
Q07869	NA	NA	NA	NA	CLOFIBRATE	Peroxisome proliferator-activated receptor alpha agonist	AGONIST	1967	CHEMBL239	163	Q07869	Peroxisome proliferator-activated receptor alpha	Homo sapiens	D002318: Cardiovascular Diseases,D009203: Myocardial Infarction,D017202: Myocardial Ischemia	PPARA	M1	-0.328594962307664
Q9BY41	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q9BY41	Histone deacetylase 8	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC8	M1	-0.321683434003208
P29274	NA	NA	NA	NA	CAFFEINE	Adenosine receptor antagonist	ANTAGONIST	1948	CHEMBL2111329	105024	P29274	Adenosine receptor A2a	Homo sapiens	D000437: Alcoholism,D000544: Alzheimer Disease,D000550: Amblyopia,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000860: Hypoxia,D001172: Arthritis, Rheumatoid,D001281: Atrial Fibrillation,D001289: Attention Deficit Disorder with Hyperactivity,D001416: Back Pain,D001943: Breast Neoplasms,D003093: Colitis, Ulcerative,D003139: Common Cold,D003141: Communicable Diseases,D003327: Coronary Disease,D003424: Crohn Disease,D003876: Dermatitis, Atopic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004417: Dyspnea,D006261: Headache,D007024: Hypotension, Orthostatic,D007383: Intermittent Claudication,D008545: Melanoma,D008881: Migraine Disorders,D009290: Narcolepsy,D009369: Neoplasms,D009765: Obesity,D010146: Pain,D010300: Parkinson Disease,D011565: Psoriasis,D013119: Spinal Cord Injuries,D014832: Voice Disorders,D015658: HIV Infections,D017116: Low Back Pain,D018781: Tension-Type Headache,D019547: Neck Pain,D019698: Hepatitis C, Chronic,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D020325: Migraine with Aura,D020326: Migraine without Aura,D020529: Multiple Sclerosis, Relapsing-Remitting,D028361: Mitochondrial Diseases,D059350: Chronic Pain,D064129: Prostatic Neoplasms, Castration-Resistant,D065626: Non-alcoholic Fatty Liver Disease	ADORA2A	M1	-0.31061219634024
Q96DB2	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q96DB2	Histone deacetylase 11	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC11	M1	-0.321683434003208
Q9UBN7	NA	NA	NA	NA	VORINOSTAT	Histone deacetylase 6 inhibitor	INHIBITOR	2006	CHEMBL1865	11307	Q9UBN7	Histone deacetylase 6	Homo sapiens	D000077195: Squamous Cell Carcinoma of Head and Neck,D000080443: Diffuse Intrinsic Pontine Glioma,D000544: Alzheimer Disease,D000755: Anemia, Sickle Cell,D001005: Anus Neoplasms,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001927: Brain Diseases,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D003110: Colonic Neoplasms,D003424: Crohn Disease,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006689: Hodgkin Disease,D007012: Hypopharyngeal Neoplasms,D007938: Leukemia,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008527: Medulloblastoma,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D009447: Neuroblastoma,D009542: Niemann-Pick Diseases,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D011087: Polycythemia Vera,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012509: Sarcoma,D012559: Schizophrenia,D012751: Sezary Syndrome,D013120: Spinal Cord Neoplasms,D013274: Stomach Neoplasms,D013920: Thrombocythemia, Essential,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D015658: HIV Infections,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D018276: Carcinoma, Medullary,D018289: Carcinoma, Verrucous,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D018567: Breast Neoplasms, Male,D020522: Lymphoma, Mantle-Cell,D047748: Pituitary ACTH Hypersecretion,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054218: Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D054429: Leukemia, Myelomonocytic, Juvenile,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	HDAC6	M1	-0.318896828125841
Q9UBN7	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q9UBN7	Histone deacetylase 6	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC6	M1	-0.321683434003208
P43681	NA	NA	NA	NA	NICOTINE	Neuronal acetylcholine receptor; alpha4/beta2 agonist	AGONIST	1984	CHEMBL1907589	104283	P43681	Neuronal acetylcholine receptor subunit alpha-4	Homo sapiens	D000375: Aging,D000428: Alcohol Drinking,D001289: Attention Deficit Disorder with Hyperactivity,D002189: Marijuana Abuse,D002278: Carcinoma in Situ,D002583: Uterine Cervical Neoplasms,D003866: Depressive Disorder,D006333: Heart Failure,D008175: Lung Neoplasms,D008569: Memory Disorders,D010300: Parkinson Disease,D012507: Sarcoidosis,D012509: Sarcoma,D012559: Schizophrenia,D014029: Tobacco Use Disorder,D014376: Tuberculosis,D014947: Wounds and Injuries,D016540: Smoking Cessation,D019966: Substance-Related Disorders,D019970: Cocaine-Related Disorders,D020250: Postoperative Nausea and Vomiting,D029424: Pulmonary Disease, Chronic Obstructive,D045169: Severe Acute Respiratory Syndrome,D060825: Cognitive Dysfunction	CHRNA4	M1	-0.298155335852197
Q969S8	NA	NA	NA	NA	BELINOSTAT	Histone deacetylase inhibitor	INHIBITOR	2014	CHEMBL2093865	104681	Q969S8	Polyamine deacetylase HDAC10	Homo sapiens	D000230: Adenocarcinoma,D001752: Blast Crisis,D002051: Burkitt Lymphoma,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010534: Peritoneal Neoplasms,D012509: Sarcoma,D013945: Thymoma,D015459: Leukemia-Lymphoma, Adult T-Cell,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D017728: Lymphoma, Large-Cell, Anaplastic,D018269: Carcinoma, Endometrioid,D018293: Cystadenoma, Serous,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D055752: Small Cell Lung Carcinoma	HDAC10	M1	-0.321683434003208
P62942	NA	NA	NA	NA	SIROLIMUS	FK506-binding protein 1A inhibitor	INHIBITOR	1999	CHEMBL1902	80	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000375: Aging,D000437: Alcoholism,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000741: Anemia, Aplastic,D000755: Anemia, Sickle Cell,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D001991: Bronchitis,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002532: Intracranial Aneurysm,D002538: Intracranial Arteriovenous Malformations,D003866: Depressive Disorder,D003922: Diabetes Mellitus, Type 1,D003928: Diabetic Nephropathies,D003930: Diabetic Retinopathy,D005128: Eye Diseases,D005185: Fallopian Tube Neoplasms,D005199: Fanconi Anemia,D005350: Fibroma,D005355: Fibrosis,D005733: Gangliosidoses,D005776: Gaucher Disease,D005871: Castleman Disease,D005909: Glioblastoma,D005922: Glomerulonephritis, IGA,D005923: Glomerulosclerosis, Focal Segmental,D006009: Glycogen Storage Disease Type II,D006086: Graft vs Host Disease,D006105: Granulomatous Disease, Chronic,D006402: Hematologic Diseases,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D006937: Hypercholesterolemia,D006946: Hyperinsulinism,D006973: Hypertension,D006976: Hypertension, Pulmonary,D007154: Immune System Diseases,D007674: Kidney Diseases,D007690: Polycystic Kidney Diseases,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008180: Lupus Erythematosus, Systemic,D008223: Lymphoma,D008228: Lymphoma, Non-Hodgkin,D008268: Macular Degeneration,D009101: Multiple Myeloma,D009190: Myelodysplastic Syndromes,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009442: Neurilemmoma,D009447: Neuroblastoma,D009456: Neurofibromatosis 1,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010300: Parkinson Disease,D010392: Pemphigus,D010871: Pinealoma,D011125: Adenomatous Polyposis Coli,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012128: Respiratory Distress Syndrome,D012509: Sarcoma,D012516: Osteosarcoma,D012595: Scleroderma, Systemic,D012878: Skin Neoplasms,D013341: Sturge-Weber Syndrome,D013964: Thyroid Neoplasms,D014606: Uveitis, Anterior,D015352: Dry Eye Syndromes,D015423: Scleritis,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015658: HIV Infections,D015866: Uveitis, Posterior,D015867: Uveitis, Intermediate,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016511: Severe Combined Immunodeficiency,D016543: Central Nervous System Neoplasms,D016891: Polycystic Kidney, Autosomal Dominant,D017086: beta-Thalassemia,D017676: Lichen Planus, Oral,D018192: Lymphangioleiomyomatosis,D018222: Fibromatosis, Aggressive,D018316: Gliosarcoma,D018376: Cardiovascular Abnormalities,D018979: Myositis, Inclusion Body,D019337: Hematologic Neoplasms,D019339: Port-Wine Stain,D020522: Lymphoma, Mantle-Cell,D020529: Multiple Sclerosis, Relapsing-Remitting,D045169: Severe Acute Respiratory Syndrome,D049970: Graves Ophthalmopathy,D051436: Renal Insufficiency, Chronic,D051437: Renal Insufficiency,D053549: Pachyonychia Congenita,D054079: Vascular Malformations,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055371: Acute Lung Injury,D055752: Small Cell Lung Carcinoma,D055948: Sarcopenia,D057135: Wet Macular Degeneration,D057180: Frontotemporal Dementia,D058249: Birt-Hogg-Dube Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant	FKBP1A	M1	-0.328350661216076
P10275	NA	NA	NA	NA	FLUTAMIDE	Androgen Receptor antagonist	ANTAGONIST	1989	CHEMBL1871	56	P10275	Androgen receptor	Homo sapiens	D000312: Adrenal Hyperplasia, Congenital,D009369: Neoplasms,D010051: Ovarian Neoplasms,D011085: Polycystic Ovary Syndrome,D011471: Prostatic Neoplasms,D064129: Prostatic Neoplasms, Castration-Resistant	AR	M1	-0.320585836260437
