HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
MT-TF	577	647	MT
MT-RNR1	648	1601	MT
MT-TV	1602	1670	MT
MT-RNR2	1671	3229	MT
MT-TL1	3230	3304	MT
MT-ND1	3307	4262	MT
MT-TI	4263	4331	MT
MT-TQ	4329	4400	MT
MT-TM	4402	4469	MT
MT-ND2	4470	5511	MT
MT-TW	5512	5579	MT
MT-TA	5587	5655	MT
MT-TN	5657	5729	MT
MT-TC	5761	5826	MT
MT-TY	5826	5891	MT
MT-CO1	5904	7445	MT
MT-TS1	7446	7514	MT
MT-TD	7518	7585	MT
MT-CO2	7586	8269	MT
MT-TK	8295	8364	MT
MT-ATP8	8366	8572	MT
MT-ATP6	8527	9207	MT
MT-CO3	9207	9990	MT
MT-TG	9991	10058	MT
MT-ND3	10059	10404	MT
MT-TR	10405	10469	MT
MT-ND4L	10470	10766	MT
MT-ND4	10760	12137	MT
MT-TH	12138	12206	MT
MT-TS2	12207	12265	MT
MT-TL2	12266	12336	MT
MT-ND5	12337	14148	MT
MT-ND6	14149	14673	MT
MT-TE	14674	14742	MT
MT-CYB	14747	15887	MT
MT-TT	15888	15953	MT
MT-TP	15956	16023	MT
FRG1FP	10939388	10961338	22
RIPK1	3063991	3115187	6
	10125340	10144406	18
AGER	32247977	32251333	CHR_HSCHR6_MHC_APD_CTG1
C5orf51	41904188	41921636	5
PTMAP1	30623474	30623740	CHR_HSCHR6_MHC_COX_CTG1
	17953572	17953930	6
	34641179	34651862	22
NIPA2P5	79090783	79094119	13
	11066418	11068174	22
	58198	58915	5
ATAT1	30616685	30636664	CHR_HSCHR6_MHC_COX_CTG1
	34703126	34704885	22
ACTR3BP6	11124337	11125705	22
BCAS2P3	79166119	79166885	13
KIF13A	17759183	17987635	6
	3068045	3068894	6
FRG1GP	12602466	12626642	22
	34711908	34724919	22
	10323132	10372380	18
	67457499	67458554	CHR_HSCHR18_2_CTG2
IGHJ3	105865358	105865407	CHR_HSCHR14_3_CTG1
	67551243	67554415	CHR_HSCHR18_2_CTG2
HLA-P	29797637	29799645	CHR_HSCHR6_MHC_DBB_CTG1
	15282557	15288670	22
	15290718	15297196	22
TRIM40	30128631	30141238	CHR_HSCHR6_MHC_APD_CTG1
GAS2L1	29306582	29312785	22
DSEL	67576031	67586429	CHR_HSCHR18_2_CTG2
GSG1L2	9802386	9822071	17
	67585995	67586198	CHR_HSCHR18_2_CTG2
	9764188	9805073	17
	67576038	67583479	CHR_HSCHR18_2_CTG2
	9791227	9808855	17
TRBV5-2	142394342	142394614	CHR_HSCHR7_2_CTG6
	15298378	15304556	22
DHRS7C	9771434	9791297	17
	9325799	9326047	Y
GOLGA6L1	23128268	23136822	15
PLEKHG4B	92151	189972	5
	9805443	9811047	17
CRK	1420689	1463162	17
ZNF72P	15326037	15343065	22
BNIP3P2	15349467	15350043	22
	1424473	1426484	17
SLC25A51P1	65788417	65789287	CHR_HSCHR6_1_CTG7
YME1L1P1	15489990	15492564	22
CDSN	31115087	31120446	6
ADH5P4	65836930	65838039	CHR_HSCHR6_1_CTG7
ERBIN	65926475	66082549	5
PSORS1C2	31137534	31139066	6
LINC01896	78976555	78979074	CHR_HSCHR18_2_CTG2_1
	127654860	127655278	CHR_HSCHR6_1_CTG8
PSORS1C1	31114750	31140092	6
NDUFAF1	41387353	41402519	15
OR11H1	15528159	15529139	22
	127659690	127660579	CHR_HSCHR6_1_CTG8
	127659425	127660338	CHR_HSCHR6_1_CTG8
	54814919	54820584	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
	15541436	15578006	22
KIR3DL1	54814901	54878560	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ARHGAP42P3	15550904	15553838	22
	15572089	15573265	22
PABPC1P11	17589161	17591318	9
	15562017	15564276	22
	15557577	15560694	22
SH3GL2	17579066	17797124	9
	5899895	5901511	19
	5866171	5903787	19
KIR2DL4	54833799	54844782	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
SALL3	78980275	79002678	CHR_HSCHR18_2_CTG2_1
NDUFA11	5891276	5904006	19
	19878555	19887814	15
LINC02536	127664554	127681555	CHR_HSCHR6_1_CTG8
	195778	196341	5
LRRC14B	191495	196334	5
KBTBD11	1973677	2006936	8
	19899334	19899559	15
	1971181	1974637	8
FUT5	5865826	5870540	19
ATP9B	79074837	79074964	CHR_HSCHR18_2_CTG2_1
	1974818	1975314	8
KBTBD11-OT1	1971397	1976478	8
	19955300	19955602	15
POLR2LP1	31140727	31140913	6
RPL6P27	6462144	6463015	18
	6493420	6495668	18
ESD	46771256	46797161	13
THEMIS	127708072	127918597	CHR_HSCHR6_1_CTG8
	6557822	6558654	18
LINC01387	6511416	6590653	18
KIR2DS4	54863003	54878657	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
IGHJ2P	105865564	105865623	CHR_HSCHR14_3_CTG1
MRPS17P5	127909833	127910052	CHR_HSCHR6_1_CTG8
TTTY20	9329880	9334832	Y
IGHV1OR15-9	19964666	19965101	15
TRBV6-4	142402503	142402958	CHR_HSCHR7_2_CTG6
IGHJ2	105865970	105866022	CHR_HSCHR14_3_CTG1
CCDC127	196871	218215	5
IGHJ1	105866178	105866229	CHR_HSCHR14_3_CTG1
	213898	217279	5
	15588361	15588478	22
TRBV7-3	142406045	142406551	CHR_HSCHR7_2_CTG6
SLC20A1P3	19967414	19968352	15
IGHD7-27	105866322	105866332	CHR_HSCHR14_3_CTG1
	79576460	79589010	CHR_HSCHR18_3_CTG2_1
	2033508	2035587	8
IGHV1OR15-2	19972782	19973218	15
	15600908	15604882	22
	79610642	79612198	CHR_HSCHR18_3_CTG2_1
GAPDHP55	44063511	44064313	15
	22109451	22116528	CHR_HSCHR21_2_CTG1_1
	29316744	29317220	22
RASL10A	29312933	29319679	22
TSPY4	9337464	9340284	Y
