Disease	Gene	MIM
Adenomatous polyposis coli (MIM 175100)	APC	MIM 611731
"Aortic aneurysm, familial thoracic 4 (MIM 132900)"	MYH11	MIM 160745
"Aortic aneurysm, familial thoracic 6 (MIM 611788)"	ACTA2	MIM 102620
"Arrhythmogenic right ventricular cardiomyopathy, type 5 (MIM 604400)"	TMEM43	MIM 612048
"Arrhythmogenic right ventricular cardiomyopathy, type 8 (MIM 607450)"	DSP	MIM 125647
"Arrhythmogenic right ventricular cardiomyopathy, type 9 (MIM 609040)"	PKP2	MIM 602861
"Arrhythmogenic right ventricular cardiomyopathy, type 10 (MIM 610193)"	DSG2	MIM 125671
"Arrhythmogenic right ventricular cardiomyopathy, type 11 (MIM 610476)"	DSC2	MIM 125645
"Breast-ovarian cancer, familial 1 (MIM 604370)"	BRCA1	MIM 113705
"Breast-ovarian cancer, familial 2 (MIM 612555)"	BRCA2	MIM 600185
Brugada syndrome 1 (MIM 601144)	SCN5A	MIM 600163
Catecholaminergic polymorphic ventricular tachycardia (MIM 604772)	RYR2	MIM 180902
Dilated cardiomyopathy 1A (MIM 115200)	LMNA	MIM 150330
Dilated cardiomyopathy 1A (MIM 115200)	MYBPC3	MIM 600958
"Ehlers-Danlos syndrome, type 4 (MIM 130050)"	COL3A1	MIM 120180
Fabry's disease (MIM 301500)	GLA	MIM 300644
Familial hypercholesterolemia (MIM 143890)	APOB	MIM 107730
Familial hypercholesterolemia (MIM 143890)	LDLR	MIM 606945
Familial hypertrophic cardiomyopathy 1 (MIM 192600)	MYH7	MIM 160760
Familial hypertrophic cardiomyopathy 3 (MIM 115196)	TPM1	MIM 191010
Familial hypertrophic cardiomyopathy 4 (MIM 115197)	MYBPC3	MIM 600958
Familial hypertrophic cardiomyopathy 6 (MIM 600858)	PRKAG2	MIM 602743
Familial hypertrophic cardiomyopathy 7 (MIM 613690)	TNNI3	MIM 191044
Familial hypertrophic cardiomyopathy 8 (MIM 608751)	MYL3	MIM 160790
Familial hypertrophic cardiomyopathy 10 (MIM 608758)	MYL2	MIM 160781
Familial hypertrophic cardiomyopathy 11 (MIM 612098)	ACTC1	MIM 102540
Familial medullary thyroid carcinoma (MIM 155240)	RET	MIM 164761
"Hypercholesterolemia, autosomal dominant, 3 (MIM 603776)"	PCSK9	MIM 607786
"Juvenile polyposis syndrome, (MIM 174900)"	BMPR1A	MIM 601299
"Juvenile polyposis syndrome, (MIM 174900)"	SMAD4	MIM 600993
Left ventricular noncompaction 6 (MIM 601494)	TNNT2	MIM 191045
Li-Fraumeni syndrome 1 (MIM 151623)	TP53	MIM 191170
Loeys-Dietz syndrome type 1A (MIM 609192)	TGFBR1	MIM 190181
Loeys-Dietz syndrome type 1B (MIM 610168)	TGFBR2	MIM 190182
Loeys-Dietz syndrome type 2A (MIM 608967)	TGFBR1	MIM 190181
Loeys-Dietz syndrome type 2B (MIM 610380)	TGFBR2	MIM 190182
Loeys-Dietz syndrome type 3 (MIM 613795)	SMAD3	MIM 603109
Long QT syndrome 1 (MIM 192500)	KCNQ1	MIM 607542
Long QT syndrome 2 (MIM 613688)	KCNH2	MIM 152427
Long QT syndrome 3 (MIM 603830)	SCN5A	MIM 600163
Lynch syndrome (MIM 120435)	MLH1	MIM 120436
Lynch syndrome (MIM 120435)	MSH2	MIM 609309
Lynch syndrome (MIM 120435)	MSH6	MIM 600678
Lynch syndrome (MIM 120435)	PMS2	MIM 600259
Malignant hyperthermia (MIM 145600)	RYR1	MIM 180901
Malignant hyperthermia (MIM 145600)	CACNA1S	MIM 114208
Marfan's syndrome (MIM 154700)	FBN1	MIM 134797
Marfan's syndrome (MIM 154700)	TGFBR1	MIM 190181
"Multiple endocrine neoplasia, type 1 (MIM 131100)"	MEN1	MIM 613733
"Multiple endocrine neoplasia, type 2a (MIM 171400)"	RET	MIM 164761
"Multiple endocrine neoplasia, type 2b (MIM 162300)"	RET	MIM 164761
MYH-associated polyposis (MIM 608456)	MUTYH	MIM 604933
"Neurofibromatosis, type 2 (MIM 101000)"	NF2	MIM 607379
Ornithine carbamoyltransferase deficiency (MIM 311250)	OTC	MIM 300461
Paragangliomas 1 (MIM 168000)	SDHD	MIM 602690
Paragangliomas 2 (MIM 601650)	SDHAF2	MIM 613019
Paragangliomas 3 (MIM 605373)	SDHC	MIM 602413
Paragangliomas 4 (MIM 115310)	SDHB	MIM 185470
Peutz-Jeghers syndrome (MIM 175200)	STK11	MIM 602216
Pilomatrixoma (MIM 132600)	MUTYH	MIM 604933
PTEN hamartoma tumor syndrome (MIM 153480)	PTEN	MIM 601728
Retinoblastoma (MIM 180200)	RB1	MIM 614041
Tuberous sclerosis 1 (MIM 191100)	TSC1	MIM 605284
Tuberous sclerosis 2 (MIM 613254)	TSC2	MIM 191092
Von Hippel-Lindau syndrome (MIM 193300)	VHL	MIM 608537
Wilms' tumor (MIM 194070)	WT1	MIM 607102
Wilson disease (MIM 277900)	ATP7B	MIM 606882
