drug1	drug2	synergy_score	module	comparison	drug1_MOA	drug1_target_hgnc_symbol	drug2_MOA	drug2_target_hgnc_symbol
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	Adenosine A2 receptor antagonist	ADORA2A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE3B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE4D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE1C
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE4B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE3A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE6D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE4A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE8B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE6B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	3',5'-cyclic phosphodiesterase inhibitor	PDE6G
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBA3C	Adenosine A2 receptor antagonist	ADORA2B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	Adenosine A2 receptor antagonist	ADORA2A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE3B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE4D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE1C
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE4B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE3A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE6D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE4A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE8B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE6B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	3',5'-cyclic phosphodiesterase inhibitor	PDE6G
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB4A	Adenosine A2 receptor antagonist	ADORA2B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	Adenosine A2 receptor antagonist	ADORA2A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE3B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE4D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE1C
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE4B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE3A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE6D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE4A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE8B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE6B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	3',5'-cyclic phosphodiesterase inhibitor	PDE6G
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB3	Adenosine A2 receptor antagonist	ADORA2B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	Adenosine A2 receptor antagonist	ADORA2A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE3B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE4D
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE1C
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE4B
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE3A
PACLITAXEL	PENTOXIFYLLINE	0.785620942482419	M5	pbta_qSig	Tubulin inhibitor	TUBB2B	3',5'-cyclic phosphodiesterase inhibitor	PDE6D
